Prerequisites,Course Name,Credits,Concurrent Enrollment
FSCI 2150;FSCI 2250,ASCI 4013,1,False
ASCI 4012,ASCI 4022,3,False
ASCI 4012,ASCI 4023,1,False
PSY 1010,ASCI 4050,3,False
PHIL 1700;PHIL 1707;PHIL 2050,ASCI 4250,3,False
ASCI 4050,ASCI 4350,3,False
,ASCI 4450,3,False
ECON 1900,ASCI 4650,3,False
,ASCI 4800,3,False
,ASCI 4900,3,False
ASCI 3910,ASCI 4910,1,False
ASCI 3915,ASCI 4915,3,False
,ASCI 4930,3,False
,ASCI 4971,3,False
,ASCI 4980,3,False
,B 0105,6,False
,B 0303,12,False
,B 0413,1,False
,B 0903,12,False
,BIOL 1010,3,False
,BIOL 1020,3,False
,BIOL 1100,4,False
,BIOL 1200,3,False
,BIOL 1240,3,False
,BIOL 1245,1,False
,BIOL 1260,3,False
,BIOL 1265,1,False
,BIOL 1340,3,False
,BIOL 1460,3,False
,BIOL 1500,3,False
,BIOL 1600,3,False
,BIOL 1930,4,False
,BIOL 1931,3,False
,BIOL 1980,3,False
,BIOL 2600,3,False
,BIOL 2800,4,False
,BIOL 2930,3,False
,BIOL 2980,3,False
BIOL 1240;BIOL 1245;BIOL 1260;BIOL 1265,BIOL 3010,3,False
BIOL 1240;BIOL 1260;BIOL 1245;BIOL 1265;CHEM 1110;CHEM 1130;CHEM 1120;CHEM 1140,BIOL 3020,3,False
BIOL 3020;CHEM 4620,BIOL 3030,3,False
BIOL 1240;BIOL 1245;BIOL 1260;BIOL 1265;CHEM 1115;CHEM 1125;CHEM 1110;CHEM 1130;CHEM 1120;CHEM 1140,BIOL 3040,3,True
,BIOL 3050,3,False
BIOL 3040;BIOL 1240;BIOL 1245;BIOL 1260;BIOL 1265;CHEM 1120,BIOL 3060,1,True
BIOL 3030,BIOL 3100,1,True
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 1245,BIOL 3220,4,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 3260,4,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 3280,3,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 3420,5,False
BIOL 1260;BIOL 1265;BIOL 1240;BIOL 1245,BIOL 3450,3,False
BIOL 4540,BIOL 3470,1,True
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 3490,3,False
,BIOL 3910,6,False
,BIOL 3930,3,False
,BIOL 3980,3,False
BIOL 3010,BIOL 4010,3,False
BIOL 3020;BIOL 3030,BIOL 4030,3,False
BIOL 3020,BIOL 4050,2,True
BIOL 3020;BIOL 3040,BIOL 4070,3,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4090,3,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4100,4,False
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 1245,BIOL 4115,1,False
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 1245,BIOL 4120,5,False
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 1245,BIOL 4130,5,False
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 1245,BIOL 4140,5,False
BIOL 3020,BIOL 4160,4,False
,BIOL 4190,3,False
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 1245,BIOL 4200,4,False
,BIOL 4240,4,False
BIOL 3040;BIOL 3020,BIOL 4250,3,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4260,4,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4280,4,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4320,4,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4330,4,False
BIOL 1260;BIOL 1265;BIOL 1240;BIOL 1245,BIOL 4360,3,False
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 4360;BIOL 3020;BIOL 3040;BIOL 1245,BIOL 4370,1,True
BIOL 3020,BIOL 4410,3,False
BIOL 3040;BIOL 3020,BIOL 4430,3,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4440,4,False
BIOL 3040,BIOL 4460,3,False
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 1245,BIOL 4480,3,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4510,3,False
BIOL 3040;BIOL 3020,BIOL 4520,3,False
BIOL 3020,BIOL 4540,3,True
BIOL 3010;BIOL 3030,BIOL 4580,3,False
BIOL 3020;BIOL 3040,BIOL 4600,3,False
BIOL 3040;BIOL 3020,BIOL 4630,3,False
BIOL 3020;BIOL 3040;BIOL 4630,BIOL 4635,1,True
BIOL 3020;BIOL 3040,BIOL 4640,3,False
BIOL 3020;BIOL 3040;BIOL 4640,BIOL 4650,2,True
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4670,3,False
BIOL 3020;BIOL 3030,BIOL 4700,3,False
BIOL 3020;BIOL 3040,BIOL 4720,3,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4750,3,False
BIOL 1240;BIOL 1260;BIOL 1265;BIOL 1245,BIOL 4760,1,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4790,4,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4890,1,False
BIOL 4480,BIOL 4910,6,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4911,3,False
BIOL 1240;BIOL 1260;BIOL 1265;CHEM 1120;BIOL 1245,BIOL 4912,3,False
BIOL 3020;BIOL 3030;BIOL 3040,BIOL 4930,4,False
,BIOL 4960,3,False
,BIOL 4970,3,False
,BIOL 4975,4,False
,BIOL 4980,4,False
MATH 1520,BME 2000,3,False
BIOL 1240;PHYS 1610,BME 2200,3,False
,BME 2910,3,False
,BME 2930,3,False
,BME 2980,3,False
BME 3200;ECE 2001;ECE 2002,BME 3000,3,False
BME 2000;ECE 2001;ECE 2002;MATH 3550,BME 3100,3,False
BME 3100;ECE 3150;BME 2200;BIOL 2600;BME 4930,BME 3150,3,False
PHYS 1610,BME 3200,3,False
BME 2000;CSCI 1060;BME 3200;MATH 3550;PHYS 3410,BME 3300,3,False
BME 3200;CHEM 1120,BME 3400,3,False
BME 3400;BME 3100;BME 3300,BME 3840,1,True
,BME 3850,2,False
,BME 3915,3,False
,BME 3930,4,False
,BME 3980,3,False
BME 3100;ECE 3150;BME 2000;BME 2200;BIOL 2600,BME 4100,3,False
BME 3100,BME 4130,3,False
BME 2000;BME 3100,BME 4150,3,False
BME 2200;BIOL 2600;BME 4930;BME 3200;BME 3400,BME 4200,3,True
BME 3200,BME 4210,3,False
BIOL 2600;BME 2200;BME 3300,BME 4300,3,False
BME 3300;BME 4400,BME 4320,3,False
BME 3400;BIOL 2600;BME 2200;PHYS 3410;STAT 3850;MATH 3850,BME 4400,3,True
BME 3300;BME 4400;STAT 3850;MATH 3850,BME 4410,3,False
BME 4400,BME 4430,3,False
BME 2000;BME 3100;BME 3300,BME 4600,3,False
BME 4600,BME 4650,3,False
BME 3100,BME 4700,3,True
,BME 4915,3,False
BIOL 1240,BME 4930,3,False
BME 3150;BME 3840,BME 4950,3,False
BME 4950,BME 4960,3,False
,BME 4970,2,False
,BME 4980,3,False
,BLS 1000,2,False
,BLS 1100,2,False
,BLS 1150,1,False
,BLS 1850,3,False
BLS 1850,BLS 2850,3,False
BIOL 3020;PPY 2540;HSCI 3300;HSCI 3310;HSCI 3400;HSCI 3410;HSCI 3510,BLS 3110,2,False
BLS 2850,BLS 3850,3,False
,BLS 3930,3,False
BIOL 3020;CHEM 2410,BLS 4110,3,False
BLS 4110,BLS 4120,2,False
BIOL 3020,BLS 4130,2,False
BIOL 3020,BLS 4210,4,False
BIOL 3020,BLS 4220,2,False
BLS 4411,BLS 4310,3,False
BIOL 3020,BLS 4411,2,False
BLS 4411,BLS 4420,2,False
BIOL 1100;BIOL 1240;CHEM 1120,BLS 4510,4,False
MATH 1300;STAT 1300,BLS 4610,3,False
BLS 3850,BLS 4850,3,False
,BST 3000,3,False
MATH 1320;MATH 1400,BST 3100,3,False
BST 3000;BST 3100,BST 3200,3,False
,BST 3910,6,False
,BST 3930,3,False
,BST 3980,3,False
MATH 2530,BST 4100,3,False
BST 4100,BST 4200,3,False
BST 3000;BST 3100,BST 4400,3,False
,BST 4930,3,False
,BST 4980,3,False
,BREW 1000,3,False
BREW 1000,BREW 1500,3,False
BREW 1000,BREW 1750,3,False
BREW 1000,BREW 2000,3,False
BREW 1000,BREW 2500,3,False
,BREW 2600,3,False
BREW 1000,BREW 2750,3,False
,BIZ 1000,1,False
,BIZ 1001,1,False
BIZ 1000;BIZ 1001;BIZ 1100,BIZ 1002,0,True
BIZ 1000;BIZ 1001;BIZ 1002,BIZ 1100,1,True
,BIZ 2300,3,False
,BIZ 3000,1,False
ACCT 2200;ACCT 2220;ECON 1900;ECON 3120;ECON 3140;FIN 3010;IB 2000;MGT 2000;MGT 3000;MKT 3000;BIZ 3000;BTM 2000;OPM 2070;OPM 3050;MGT 4000,BIZ 4000,1,True
BIZ 2300,BIZ 4300,3,False
,BTM 2000,3,False
BTM 2000,BTM 2500,3,False
BTM 2000,BTM 3100,3,False
BTM 2500,BTM 3300,3,False
BTM 2000,BTM 3500,3,False
BTM 2500,BTM 3700,3,False
BTM 2000;ACCT 2200;OPM 3050,BTM 3810,3,True
BTM 3810,BTM 3850,3,False
BTM 2500,BTM 4100,3,False
BTM 3700,BTM 4700,3,False
BTM 3100,BTM 4810,3,False
,BTM 4811,3,False
,BTM 4812,3,False
BTM 3100;BIZ 3000,BTM 4910,3,False
,BTM 4930,3,False
,BTM 4980,3,False
,CSO 1000,3,False
CSO 1000,CSO 1500,3,False
CSO 1000,CSO 1600,3,False
CSO 1000,CSO 1700,3,False
CSO 1000,CSO 2000,3,False
,CSO 2010,3,False
,CSO 2020,3,False
CSO 1000,CSO 2910,1,False
CSO 2000,CSO 2960,1,False
,CAP 0400,2,False
,CAP 0401,2,False
,CAP 0403,2,False
,CAP 0404,2,False
,CAP 0405,2,False
,CAP 0406,12,False
