Prerequisites,Concurrent Enrollment,Major,Course Name,Course Details,Credits,Repeatable
PSY 1010,False,Psychology (PSY),PSY 3460,Abnormal Psychology,3,False
PSY 1010,False,Psychology (PSY),PSY 3470,Occupational Health Psychology,3,False
PSY 1010,False,Psychology (PSY),PSY 3930,Special Topics,4,True
,False,Psychology (PSY),PSY 3980,Independent Study,3,True
PSY 2050,False,Psychology (PSY),PSY 4060,Applications of Research Methods and Statistics,4,False
PSY 1010,False,Psychology (PSY),PSY 4140,Psychopharmacology,3,False
PSY 1010,False,Psychology (PSY),PSY 4150,Science of Sleep,3,False
PSY 1010,False,Psychology (PSY),PSY 4210,Child Study and Observation,3,False
PSY 1010,False,Psychology (PSY),PSY 4220,Parenting & Child Development,3,False
"PSY 3210, PSY 3230",False,Psychology (PSY),PSY 4270,Cross-Cultural Psychology of Human Development,3,False
"PSY 1010, PSY 3300",False,Psychology (PSY),PSY 4320,Close Relationships,3,False
PSY 1010,False,Psychology (PSY),PSY 4330,Psychology of Oppression,3,False
PSY 1010,False,Psychology (PSY),PSY 4340,African American Psychology,3,False
PSY 3300,False,Psychology (PSY),PSY 4350,Health Psychology,3,False
"PSY 1010, PSY 2050",False,Psychology (PSY),PSY 4420,Psychological Tests & Measurements,3,False
"PSY 3460, PSY 1010, PSY 2050",False,Psychology (PSY),PSY 4430,Psychology of Trauma,3,False
"CORE 1000, CORE 1500",True,Psychology (PSY),PSY 4445,"Diversity, Equity, and Inclusion in the Workplace",3,False
PSY 1010,False,Psychology (PSY),PSY 4450,Intro Counseling Clinical Psychology,3,False
PSY 1010,False,Psychology (PSY),PSY 4460,"Marital Relations, Sexuality & Parenting",3,False
PSY 1010,False,Psychology (PSY),PSY 4480,Psychology and Law,3,False
PSY 1010,False,Psychology (PSY),PSY 4490,Teams in Organizations,3,False
PSY 1010,False,Psychology (PSY),PSY 4710,Studies in Cognition/Neuroscience,3,True
PSY 1010,False,Psychology (PSY),PSY 4720,Studies in Developmental Psychology,15,False
PSY 1010,False,Psychology (PSY),PSY 4730,Studies in Applied Psychology,3,True
PSY 1010,False,Psychology (PSY),PSY 4800,Undergraduate Research,6,True
PSY 1010,False,Psychology (PSY),PSY 4910,Practicum,6,True
PSY 1010,False,Psychology (PSY),PSY 4930,Special Topics,3,True
"PSY 1010, PSY 2050, PSY 4060",False,Psychology (PSY),PSY 4960,Advanced Research Methodology and Statistics,4,False
"PSY 1010, PSY 2050",False,Psychology (PSY),PSY 4965,Capstone Practicum Project,3,True
"PSY 1010, PSY 2050",False,Psychology (PSY),PSY 4967,Capstone Research Project,3,True
"PSY 1010, PSY 2050",False,Psychology (PSY),PSY 4969,Critical Thinking About Psychology,3,False
,False,Psychology (PSY),PSY 4980,Advanced Independent Study,6,True
,False,Public Health (PUBH),PUBH 2100,Introduction to Global Health,3,False
PUBH 2100,False,Public Health (PUBH),PUBH 2300,Contemporary Issues in Global Health,3,False
,False,Public Health (PUBH),PUBH 2700,Public Health Issues in Emergency Management,3,False
,False,Public Health (PUBH),PUBH 2930,Special Topics,3,True
,False,Public Health (PUBH),PUBH 2980,Independent Study,3,True
PUBH 2100,False,Public Health (PUBH),PUBH 3200,Evidence Based Public Health,3,False
,False,Public Health (PUBH),PUBH 3500,Art & Public Health:  Creating Relationships for Social Change,3,False
,False,Public Health (PUBH),PUBH 3910,Internship,6,False
,False,Public Health (PUBH),PUBH 3930,Special Topics,3,True
,False,Public Health (PUBH),PUBH 3980,Independent Study,3,True
,False,Public Health (PUBH),PUBH 4000,Politics and Public Health Advocacy,3,False
,False,Public Health (PUBH),PUBH 4100,Biological Basis of Public Health,3,False
,False,Public Health (PUBH),PUBH 4930,Special Topics,3,True
"HMP 1300, PUBH 2300, PUBH 3200, PUBH 4000, PUBH 4100, BST 3100, EPI 4000, HCE 3100",True,Public Health (PUBH),PUBH 4960,Capstone in Public Health,3,False
,False,Public Health (PUBH),PUBH 4970,Directed Research in Public Health,6,True
,False,Public Health (PUBH),PUBH 4980,Directed Readings in Public Health,3,True
,False,Radiation Oncology (RO),RO 0302,Radiation Oncology Career Exploration,2,True
,False,Radiation Oncology (RO),RO 0402,Clinical Radiation Oncology,12,False
,False,Radiation Oncology (RO),RO 0901,Radiation Oncology Direct Patient Care,12,True
,False,Radiation Oncology (RO),RO 0903,Radiation Oncology Research,12,True
,False,Radiation Therapy (XRT),XRT 4310,Radiation Physics,2,False
,False,Radiation Therapy (XRT),XRT 4320,Radiation Therapy Practice I,3,False
,False,Radiation Therapy (XRT),XRT 4330,Treatment Techniques,3,False
,False,Radiation Therapy (XRT),XRT 4340,Treatment Planning,3,False
,False,Radiation Therapy (XRT),XRT 4350,Clinical Practicum I,10,False
,False,Radiation Therapy (XRT),XRT 4360,Emerging Technologies,2,False
,False,Radiation Therapy (XRT),XRT 4420,Radiation Therapy Practice II,3,False
,False,Radiation Therapy (XRT),XRT 4440,Clinical Dosimetry,3,False
,False,Radiation Therapy (XRT),XRT 4450,Clinical Practicum II,8,False
,False,Radiation Therapy (XRT),XRT 4500,Radiation Oncology Patient Care and Quality Management,3,False
,False,Radiation Therapy (XRT),XRT 4510,Radiobiology and Radiation Protection,2,False
,False,Radiation Therapy (XRT),XRT 4960,Capstone in Radiation Therapy,1,False
,False,Radiation Therapy (XRT),XRT 4980,Independent Study,3,True
,False,Radiology (R),R 0302,Radiology Career Exploration,2,True
,False,Radiology (R),R 0304,Esse Health - Excel Imaging,4,True
,False,Radiology (R),R 0305,Interventional Radiology @ Cardinal Glennon Children's Hospital,4,True
,False,Radiology (R),R 0306,Interventional Radiology @ John Cohran Veterans Administration,4,True
,False,Radiology (R),R 0307,Interventional Radiology @ SSM Saint Mary's Hospital,4,True
,False,Radiology (R),R 0308,Mercy Hospital - Radiology & Pediatric Radiology,4,True
,False,Radiology (R),R 0309,Interventional Radiology @ SSM Saint Louis University Hospital,4,True
,False,Radiology (R),R 0310,Vascular Institute at DePaul,4,True
,False,Radiology (R),R 0401,Diagnostic Radiology- Saint Louis University Hospital,12,False
,False,Radiology (R),R 0403,Diagnostic Radiology- Cardinal Glennon Children's Hospital,12,False
,False,Radiology (R),R 0404,Neuroradiology- Saint Louis University Hospital,12,False
,False,Radiology (R),R 0408,Pediatric Neuroradiology,12,True
,False,Radiology (R),R 0409,Vascular and Interventional Radiology,12,True
,False,Radiology (R),R 0410,Body Magnetic Resonance Imaging (MRI),8,True
,False,Radiology (R),R 0411,Breast Imaging and Intervention,4,True
,False,Radiology (R),R 0412,Interventional Radiology in Oncology at SLU,4,False
,False,Radiology (R),R 0901,Radiology Direct Patient Care,12,True
,False,Radiology (R),R 0903,Radiology Research,12,True
,False,Renal-â€‹Urinary System (RENL),RENL 0200,Renal Urinary System,4,False
,False,Research in Medicine (RMED),RMED 0101,Bench to Bedside,10,True
,False,Research in Medicine (RMED),RMED 0102,Applied Family Med Research,12,True
,False,Research in Medicine (RMED),RMED 0103,"Rhinology & Sinus Surgery: Office, OR and Research",12,True
,False,Research in Medicine (RMED),RMED 0105,Research Laboratory Orientation,12,True
,False,Research in Medicine (RMED),RMED 0106,HCV (Hepatitis C Virus),4,True
,False,Research in Medicine (RMED),RMED 0107,Tumor Immunology,6,True
,False,Research in Medicine (RMED),RMED 0111,Research on Lysosomal Storage Diseases,12,True
,False,Research in Medicine (RMED),RMED 0201,Bench to Bedside II,2,True
,False,Respiratory System (RESP),RESP 0200,Respiratory System,5,False
,False,Russian (RUSS),RUSS 1010,Russian from the Beginning I,3,False
RUSS 1010,False,Russian (RUSS),RUSS 1020,Russian from the Beginning II,3,False
,False,Russian (RUSS),RUSS 1930,Special Topics,3,True
,False,Russian (RUSS),RUSS 1980,Independent Study,3,True
RUSS 1020,False,Russian (RUSS),RUSS 2010,Intermediate Russian: Language and Culture I,3,False
RUSS 2010,False,Russian (RUSS),RUSS 2020,Intermediate Russian: Language and Culture II,3,False
,False,Russian (RUSS),RUSS 2930,Special Topics,3,True
,False,Russian (RUSS),RUSS 2980,Independent Study,3,True
RUSS 2020,False,Russian (RUSS),RUSS 3010,Communicating in Russian: The Arts,3,False
RUSS 3010,False,Russian (RUSS),RUSS 3020,Communicating in Russian: History and Politics,3,False
,False,Russian (RUSS),RUSS 3250,"Russia From Peter to Putin: Imperial, Soviet, and Post-Soviet Culture",3,False
,False,Russian (RUSS),RUSS 3270,Soviet and Russian Cinema: Traditions and Innovations,3,False
,False,Russian (RUSS),RUSS 3320,Dostoevsky Through the Centuries,3,False
,False,Russian (RUSS),RUSS 3340,Serfdom and Liberation: Challenging the Legacies of Forced Labor,3,False
,False,Russian (RUSS),RUSS 3350,"Chekhov as Dramatist: Performance, Adaptations, and Intermedial Transpositions",3,False
,False,Russian (RUSS),RUSS 3360,In Prisons Dark: Confinement Literature in the Russian and Soviet Empires,3,False
,False,Russian (RUSS),RUSS 3370,World Soul in the Silver Age: Literature in a Revolutionary Era,3,False
,False,Russian (RUSS),RUSS 3390,Putin's Idiocracy,3,False
,False,Russian (RUSS),RUSS 3440,"Art, Media, & Power in Post-Soviet Russia",3,False
,False,Russian (RUSS),RUSS 3910,Internship,6,True
,False,Russian (RUSS),RUSS 3930,Special Topics,3,True
,False,Russian (RUSS),RUSS 3980,Independent Study,3,True
,False,Russian (RUSS),RUSS 4010,Presenting Research in Russian,3,False
RUSS 3250,False,Russian (RUSS),RUSS 4510,The Russian Orthodox,3,False
,False,Russian (RUSS),RUSS 4910,Internship,6,True
,False,Russian (RUSS),RUSS 4930,Special Topics,3,True
,False,Russian (RUSS),RUSS 4980,Advanced Independent Study,3,True
,False,Science &â€‹ Engineering (SE),SE 1700,Engineering Fundamentals,2,False
,False,Science &â€‹ Engineering (SE),SE 1701,Engineering Fundamentals Studio,1,False
,False,Science &â€‹ Engineering (SE),SE 1702,Engineering Studio: Self and Community,1,False
,False,Science &â€‹ Engineering (SE),SE 1709,Introduction to Engineering,2,False
,False,Science &â€‹ Engineering (SE),SE 1930,Special Topics,4,True
,False,Science &â€‹ Engineering (SE),SE 2930,Special Topics,4,True
,False,Science &â€‹ Engineering (SE),SE 3930,Special Topics,4,True
,False,Science &â€‹ Engineering (SE),SE 4930,Special Topics,4,True
,False,Science &â€‹ Engineering (SE),SE 4970,Independent Research,3,True
CIS 1150,False,Security and Strategic Intelligence (SSI),SSI 1500,Foundations of Security and Strategic Intelligence,3,False
"CIS 2875, SSI 1500",False,Security and Strategic Intelligence (SSI),SSI 2000,Threat and Risk Assessment,3,False
,False,Security and Strategic Intelligence (SSI),SSI 2930,Special Topics,3,True
,False,Security and Strategic Intelligence (SSI),SSI 2980,Independent Study,3,True
SSI 3000,False,Security and Strategic Intelligence (SSI),SSI 3000,"Coordination across Agencies, Organizations, and Departments",3,False
"CORE 1205, CIS 2875, SSI 1500",False,Security and Strategic Intelligence (SSI),SSI 3010,Business Continuity and Impact Analysis,3,False
"CORE 1205, CIS 2875, SSI 1500",False,Security and Strategic Intelligence (SSI),SSI 3020,Intelligence and its Use in National & Corporate Security,3,False
"CIS 2875, SSI 1500",False,Security and Strategic Intelligence (SSI),SSI 3030,Global Security Management,3,False
"CIS 2875, SSI 1500",False,Security and Strategic Intelligence (SSI),SSI 3040,Contemporary Perspectives on Policing,3,False
"CIS 3300, SSI 1500",False,Security and Strategic Intelligence (SSI),SSI 3100,Analytics in Security and Intelligence,3,False
SSI 3020,False,Security and Strategic Intelligence (SSI),SSI 3200,"Terrorism:  Causes, Tactics, and Mitigation",3,False
SSI 3010,False,Security and Strategic Intelligence (SSI),SSI 3300,"Integrated Risk Planning, Strategy and Compliance",3,False
SSI 3030,False,Security and Strategic Intelligence (SSI),SSI 3600,Tangible Asset Security,3,False
SSI 2000,False,Security and Strategic Intelligence (SSI),SSI 3800,Trends in Strategic Security and Intelligence,3,False
,False,Security and Strategic Intelligence (SSI),SSI 3930,Special Topics,3,True
,False,Security and Strategic Intelligence (SSI),SSI 3980,Independent Study,3,True
,False,Security and Strategic Intelligence (SSI),SSI 4010,Diplomacy and Foreign Policy,3,False
SSI 3010,False,Security and Strategic Intelligence (SSI),SSI 4090,"Resilience, Recovery and Contingency",3,False
SSI 3040,False,Security and Strategic Intelligence (SSI),SSI 4100,"Law Enforcement, Investigation and Prosecution",3,False
SSI 4200,False,Security and Strategic Intelligence (SSI),SSI 4200,Collection Assets and Capabilities,3,False
SSI 4500,False,Security and Strategic Intelligence (SSI),SSI 4500,Financial & Regulatory Considerations in Risk Planning,3,False
SSI 3040,False,Security and Strategic Intelligence (SSI),SSI 4650,Law Enforcement Administration,3,False
,False,Security and Strategic Intelligence (SSI),SSI 4800,Security and Strategic Intelligence Capstone,3,False
,False,Security and Strategic Intelligence (SSI),SSI 4900,Security and Strategic Intelligence Capstone,3,True
,False,Security and Strategic Intelligence (SSI),SSI 4910,SSI internship,3,True
,False,Security and Strategic Intelligence (SSI),SSI 4930,Special Topics,3,True
,False,Security and Strategic Intelligence (SSI),SSI 4980,Independent Study,3,True
,False,Self-â€‹Designed Elective (SDE),SDE 0101,Clinical Elective: Specialty-Designed,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0102,Research Elective: Specialty-Designed,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0103,Service Elective: Specialty-Designed,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0104,Teaching Elective: Specialty-Designed,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0105,Basic Science (non-research) Elective: Specialty-Designed,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0201,Clinical Elective Specialty Design,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0202,Research Elective Specialty Design,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0203,Service Elective Specialty Design,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0204,Teaching Elective,6,True
,False,Self-â€‹Designed Elective (SDE),SDE 0205,Basic Science Elective Specialty Design,6,True
,False,Service and Advocacy (SA),SA 0133,"Project LEAN (Live, Exercise, Attitude, Nutrition)",6,True
,False,Service and Advocacy (SA),SA 0135,Empowering Youth Today,6,True
,False,Service and Advocacy (SA),SA 0136,HIV in Medicine,6,True
,False,Service and Advocacy (SA),SA 0138,Labor of Love: Vulnerable Women & Maternity,6,True
,False,Service and Advocacy (SA),SA 0140,Music Therapy,6,True
,False,Service and Advocacy (SA),SA 0148,Doctors for Diversity,6,True
,False,Simulation Center (SIM),SIM 0101,Management of the Critical Patient & Procedures,3,True
,False,Simulation Center (SIM),SIM 0102,Management of the Critical Patient & Advanced Procedures,6,True
,False,Simulation Center (SIM),SIM 0401,Simulation Lab,12,True
,False,"Skin, Bone And Joint (SBJ)",SBJ 0200,"Skin, Bone and Joint Module",3,False
,False,Social Work (SWRK),SWRK 1000,Introduction to Social Work,3,False
,False,Social Work (SWRK),SWRK 2300,Human Behavior Social Envrnmnt,3,False
,False,Social Work (SWRK),SWRK 3100,Social Policy for Social Justice,3,False
,False,Social Work (SWRK),SWRK 3200,Dismantling Oppression: Exploring Equity & Inclusion,3,False
,False,Social Work (SWRK),SWRK 3300,Social Work Practice with Individuals,3,False
SWRK 3300,True,Social Work (SWRK),SWRK 3350,Social Work Practice with Groups,3,False
,False,Social Work (SWRK),SWRK 3400,Social Work Practice with Families,3,False
,False,Social Work (SWRK),SWRK 3440,Social Work Practice with Families,3,False
,False,Social Work (SWRK),SWRK 3500,Social Work Practice with Organizations & Communities,3,False
,False,Social Work (SWRK),SWRK 3600,Financial Capability and Asset Building Practice,3,False
,False,Social Work (SWRK),SWRK 3700,Research Methods for a Diverse Society,3,False
"SWRK 3300, SWRK 3400, SWRK 3500, SWRK 1000",False,Social Work (SWRK),SWRK 4100,Social Work Practicum I,5,True
,False,Social Work (SWRK),SWRK 4150,Integrative Practice Seminar I,1,False
"SWRK 4100, SWRK 4150",False,Social Work (SWRK),SWRK 4200,Social Work Practicum II,5,True
,False,Social Work (SWRK),SWRK 4250,Integrative Practice Seminar II,1,False
,False,Sociology (SOC),SOC 1100,Introduction to Sociology,3,False
,False,Sociology (SOC),SOC 1110,Introduction to Sociology: Diversity Emphasis,3,False
,False,Sociology (SOC),SOC 1120,Introduction to Sociology: Diversity and Health Emphasis,3,False
,False,Sociology (SOC),SOC 1180,World Geography,3,False
,False,Sociology (SOC),SOC 1190,Cultural Geography,3,False
,False,Sociology (SOC),SOC 1480,"The “I” in Internet, the “Me” in Meme: Self, Technology, and Society",3,False
,False,Sociology (SOC),SOC 1500,"The Urban Community: Race, Class, and Spatial Justice",3,False
,False,Sociology (SOC),SOC 1550,"The Ignatian City: Social Suffering, Urban Marginality, and Social Justice",3,False
,False,Sociology (SOC),SOC 1930,Special Topics,3,True
,False,Sociology (SOC),SOC 1980,Independent Study,3,True
"SOC 1100, SOC 1110, SOC 1120, ANTH 1200",False,Sociology (SOC),SOC 2000,Research Methods,3,False
,False,Sociology (SOC),SOC 2110,Sociology of Sport,3,False
,False,Sociology (SOC),SOC 2360,Health Inequalities in the U.S.,4,False
,False,Sociology (SOC),SOC 2480,"Drugs and Society: Legal and Medical Implications of the ""War on Drugs""",3,False
,False,Sociology (SOC),SOC 2490,Sociology of Medicine,3,False
,False,Sociology (SOC),SOC 2630,Religion and Social Sciences: Theoretical and Empirical Reflections on Religion,3,False
,False,Sociology (SOC),SOC 2930,Special Topics,3,True
,False,Sociology (SOC),SOC 2980,Independent Study,3,True
SOC 2000,False,Sociology (SOC),SOC 3020,Qualitative Research,3,False
,False,Sociology (SOC),SOC 3180,Immigration,3,False
,False,Sociology (SOC),SOC 3220,Urban Sociology,3,False
,False,Sociology (SOC),SOC 3230,Gender and Society,3,False
,False,Sociology (SOC),SOC 3300,Social Psychology,3,False
,False,Sociology (SOC),SOC 3360,Racial and Ethnic Relations,3,False
,False,Sociology (SOC),SOC 3370,Violence in America,3,False
,False,Sociology (SOC),SOC 3390,Cultural Anthropology,3,False
,False,Sociology (SOC),SOC 3430,Marriage and the Family,3,False
,False,Sociology (SOC),SOC 3490,Sociology of Mental Health,3,False
"CORE 1000, CORE 1500",True,Sociology (SOC),SOC 3510,The Structure of Poverty: Globally and Locally,3,False
,False,Sociology (SOC),SOC 3525,Elite & White-Collar Deviance,3,False
,False,Sociology (SOC),SOC 3570,Sociological Theories of Crime,3,False
,False,Sociology (SOC),SOC 3580,"Deviant Behavior: Drugs, Alcohol and Addiction",3,False
,False,Sociology (SOC),SOC 3590,Law and Society,3,False
"PSY 1010, SOC 1100, SOC 1110, SOC 1120",False,Sociology (SOC),SOC 3700,Health and the Social Sciences,3,False
,False,Sociology (SOC),SOC 3840,African-American Religious Traditions,3,False
,False,Sociology (SOC),SOC 3910,Internship,6,True
,False,Sociology (SOC),SOC 3930,Special Topics,3,True
,False,Sociology (SOC),SOC 3980,Independent Study,3,True
SOC 2000,False,Sociology (SOC),SOC 4015,Quantitative Research Methods,3,False
SOC 2000,False,Sociology (SOC),SOC 4025,Qualitative Research,3,False
,False,Sociology (SOC),SOC 4640,"Demographic Methods, Analysis, and Public Policy",3,False
,False,Sociology (SOC),SOC 4650,Principles and Methods of GIScience,3,False
SOC 4650,False,Sociology (SOC),SOC 4660,Intermediate Geographic Information Systems,3,False
SOC 4650,False,Sociology (SOC),SOC 4670,Spatial Demography – Applied Spatial Statistics,3,False
,False,Sociology (SOC),SOC 4680,Forensic GIS,3,False
"SOC 4640, SOC 4650, SOC 4660",False,Sociology (SOC),SOC 4700,Applied Spatial Analysis for Social Sciences,3,False
SOC 2000,False,Sociology (SOC),SOC 4800,Research Activity: Supervised,3,True
,False,Sociology (SOC),SOC 4840,Sociology Capstone,3,False
,False,Sociology (SOC),SOC 4910,Internship,6,True
,False,Sociology (SOC),SOC 4930,Special Topics,3,True
,False,Sociology (SOC),SOC 4980,Advanced Independent Study,6,True
,False,Sociology (SOC),SOC 4990,Departmental Honors Thesis,6,False
,False,Spanish (SPAN),SPAN 1010,Spanish for Beginners,3,False
SPAN 1010,False,Spanish (SPAN),SPAN 1020,Exploring the Hispanic World: Beginning Spanish,3,False
,False,Spanish (SPAN),SPAN 1200,Exploring the Hispanic World: Beginning Spanish Review,4,False
,False,Spanish (SPAN),SPAN 1930,Special Topics,4,True
,False,Spanish (SPAN),SPAN 1980,Independent Study,3,True
"SPAN 1020, SPAN 1200",False,Spanish (SPAN),SPAN 2010,Connecting with the Hispanic World: Intermediate Spanish 1,3,False
,False,Spanish (SPAN),SPAN 2240,Meeting the Other: Hispanic Experience,3,False
,False,Spanish (SPAN),SPAN 2400,Introduction to Spanish Culture,4,False
,False,Spanish (SPAN),SPAN 2930,Special Topics,6,True
,False,Spanish (SPAN),SPAN 2980,Independent Study,3,True
SPAN 2010,False,Spanish (SPAN),SPAN 3010,Written Communication,3,False
SPAN 3010,False,Spanish (SPAN),SPAN 3020,Eloquent Communication in Spanish,3,False
"SPAN 3010, SPAN 3020",False,Spanish (SPAN),SPAN 3030,Refining Spanish Expression: Grammar & Composition,3,False
"SPAN 3010, SPAN 3020",False,Spanish (SPAN),SPAN 3040,In Conversation with the Hispanic World,3,False
"SPAN 3010, SPAN 3020",False,Spanish (SPAN),SPAN 3100,Spanish Pronunciation,3,False
"SPAN 3010, SPAN 3020",False,Spanish (SPAN),SPAN 3150,Introduction to Medical Spanish,3,False
"SPAN 3010, SPAN 3020",False,Spanish (SPAN),SPAN 3360,"Race, Gender, Class and Social Justice in Latin America",3,False
,False,Spanish (SPAN),SPAN 3910,Internship,6,True
,False,Spanish (SPAN),SPAN 3930,Special Topics,3,True
,False,Spanish (SPAN),SPAN 3980,Independent Study,3,True
,False,Spanish (SPAN),SPAN 4000,Advanced Spanish Grammar,3,False
"SPAN 3010, SPAN 3020",False,Spanish (SPAN),SPAN 4020,Spanish in the World,3,False
,False,Spanish (SPAN),SPAN 4030,Introduction to Hispanic Linguistics,3,False
SPAN 4000,False,Spanish (SPAN),SPAN 4040,Methods of Teaching Spanish,3,False
,False,Spanish (SPAN),SPAN 4050,Span Phonetics & Phonology,3,False
,False,Spanish (SPAN),SPAN 4060,History of the Spanish Language,3,False
,False,Spanish (SPAN),SPAN 4070,Spanish in the United States of America,3,False
,False,Spanish (SPAN),SPAN 4090,Spanish Sociolinguistics,3,False
,False,Spanish (SPAN),SPAN 4130,Second Language Acquisition,3,False
,False,Spanish (SPAN),SPAN 4150,Spanish for the Health Professions,3,False
,False,Spanish (SPAN),SPAN 4160,Business & Prof Spanish,3,False
,False,Spanish (SPAN),SPAN 4170,English-Spanish in Translation,3,False
,False,Spanish (SPAN),SPAN 4200,Introduction to Hispanic Literatures,3,False
,False,Spanish (SPAN),SPAN 4220,Soccer and Society in the Spanish-Speaking World,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4240,"Short Stories: History, Histories. Deciphering Latin-American Societies and Cultures",3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4260,Latin American 'Modernism',3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4270,Contemporary Latin American Poetry,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4280,Early Latin American Novel,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4290,Contemporary Latin American Novel,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4310,Contemporary Latin-Am Drama,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4320,The African Experience in Spanish America,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4330,Latin Am Novel after 1970,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4340,Identities of the Other in 19th-c. Latin American Narrative,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4350,Latin American Testimony,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4360,Women's Literature in Latin America,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4370,Latin American Film,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4380,Cultural Stereotypes: Latin Am,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4390,Contemporary Spanish Women Writers,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4400,Strangers in a Familiar Land: Displacements in Latin America,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4510,Contemporary Latino Literature,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4521,The Kingdom of Brevity: Spanish and Spanish-American Short-Short Stories,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4560,Don Quixote,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4571,People and Things Out of Place: Transnational Border Crossings in 21st-Century Hispanic Cinema,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4590,Spanish Jewry in Spain and in the Diaspora,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4630,Narrative of the Spanish Civil War,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4660,Generation of 98,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4680,Contemporary Spanish Short Story,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4700,20th Century Spanish Poetry,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4710,20th Century Spanish Novel,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4720,Twentieth Century Spanish Drama,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4740,Peninsular Spanish Poetry 1965-present,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4750,Spanish Novel After 1970,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4760,Spanish Literature and Film,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4770,Spanish Women Poets,3,False
,False,Spanish (SPAN),SPAN 4790,Spanish Culture & Civilization,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4820,"The short story in medieval Spain: fear, education and humor",3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4830,Spanish Medieval Masterpieces,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4840,Love in the Middle Ages,3,False
SPAN 4200,False,Spanish (SPAN),SPAN 4850,16th - 17th Century Spanish Prose,3,False
,False,Spanish (SPAN),SPAN 4910,Internship,6,True
,False,Spanish (SPAN),SPAN 4930,Special Topics,3,True
,False,Spanish (SPAN),SPAN 4980,Advanced Independent Study,3,True
,False,Special Education (EDSP),EDSP 3560,Special Ed. Process,3,False
,False,Special Education (EDSP),EDSP 3700,Intro to Disabilities Studies,3,False
,False,Special Education (EDSP),EDSP 3930,Special Topics,3,True
,False,Special Education (EDSP),EDSP 3980,Independent Study,3,True
,False,Special Education (EDSP),EDSP 4240,"Classroom Organization and Management (Early Childhood, ECSE, Elementary, Special Education)",3,False
,False,Special Education (EDSP),EDSP 4250,"Classroom Organization and Management (Middle, Secondary and Special Education)",3,False
,False,Special Education (EDSP),EDSP 4310,Ed & Psych of the Exp Ind,3,False
EDSP 4530,False,Special Education (EDSP),EDSP 4380,Student Teaching in Early Childhood Inclusive Classrooms,10,False
,False,Special Education (EDSP),EDSP 4400,Speech & Lang Dev Exp Ch,4,False
EDSP 4310,False,Special Education (EDSP),EDSP 4470,Teach Meth for Inc Class EC/EL,3,False
EDSP 4310,False,Special Education (EDSP),EDSP 4480,Teaching Method Incl Class Mid & Sec,3,False
"EDSP 3700, EDSP 4310",False,Special Education (EDSP),EDSP 4510,Collaboration in Special Education,2,False
,False,Special Education (EDSP),EDSP 4530,Curriculum Methods & Matl ECSE,3,False
EDI 3550,False,Special Education (EDSP),EDSP 4540,Supervised Practicum in Early Childhood Special Education,3,False
,False,Special Education (EDSP),EDSP 4600,Medical Implications in Special Education,3,False
EDSP 3700,False,Special Education (EDSP),EDSP 4610,Meth Mild/Mod Elem,3,False
EDSP 3700,False,Special Education (EDSP),EDSP 4620,Intro to Mild/Mod Dis Sec Meth,3,False
EDSP 4530,False,Special Education (EDSP),EDSP 4640,Seminar in Early Childhood Special Education,3,False
